building_type,building_period,location_id,structure_type,design_U_value_W_m2K,effective_thermal_mass_J_m2K,linear_thermal_bridges_W_mK,external_U_value_to_ambient_air_W_m2K,external_U_value_to_ground_W_m2K,internal_U_value_to_structure_W_m2K,total_U_value_W_m2K
ABL,1850-1918,DE,partition_wall,1.7,453168.99855070736,0.0,1.5448225725839428,0.0,3.691238736293562,1.0890454836643177
ABL,1850-1918,DE,roof,1.3,229137.73330498833,0.0,1.6493275818320225,0.0,6.137865911237016,1.3
ABL,1850-1918,DE,separating_floor,1.2,582048.018688267,0.0,1.1361484567316795,0.0,3.531489111241907,0.8595988538681948
ABL,1850-1920,CZ,base_floor,0.8000000000000002,891885.0349112831,0.0,0.0,0.2964347842083682,3.597122302158273,0.27386581209894345
ABL,1850-1920,CZ,exterior_wall,1.563891552932497,579027.8402290617,0.0,2.1622207203393518,0.0,5.651535817265244,1.563891552932497
ABL,1850-1920,CZ,light_exterior_wall,1.563891552932497,579027.8402290617,0.0,2.1622207203393518,0.0,5.651535817265244,1.563891552932497
ABL,1850-1920,CZ,light_partition_wall,1.563891552932497,487195.07188303303,0.0,1.4368662506641914,0.0,3.656687821693295,1.031533433348638
ABL,1850-1920,CZ,partition_wall,1.563891552932497,487195.07188303303,0.0,1.4368662506641914,0.0,3.656687821693295,1.031533433348638
ABL,1850-1920,CZ,roof,0.8823529411764706,357963.9861286396,0.0,1.0706638115631693,0.0,5.016722408026756,0.8823529411764706
ABL,1850-1920,CZ,separating_floor,0.8000000000000002,679826.2397172088,0.0,0.7836990595611286,0.0,3.2894736842105265,0.6329113924050633
ABL,1850-1920,SK,base_floor,0.8000000000000002,891885.0349112831,0.0,0.0,0.2964347842083682,3.597122302158273,0.27386581209894345
ABL,1850-1920,SK,exterior_wall,1.563891552932497,579027.8402290617,0.0,2.1622207203393518,0.0,5.651535817265244,1.563891552932497
ABL,1850-1920,SK,light_exterior_wall,1.563891552932497,579027.8402290617,0.0,2.1622207203393518,0.0,5.651535817265244,1.563891552932497
ABL,1850-1920,SK,light_partition_wall,1.563891552932497,487195.07188303303,0.0,1.4368662506641914,0.0,3.656687821693295,1.031533433348638
ABL,1850-1920,SK,partition_wall,1.563891552932497,487195.07188303303,0.0,1.4368662506641914,0.0,3.656687821693295,1.031533433348638
ABL,1850-1920,SK,roof,0.8823529411764706,357963.9861286396,0.0,1.0706638115631693,0.0,5.016722408026756,0.8823529411764706
ABL,1850-1920,SK,separating_floor,0.8000000000000002,679826.2397172088,0.0,0.7836990595611286,0.0,3.2894736842105265,0.6329113924050633
ABL,1850-1945,HR,base_floor,0.9803921568627451,1019542.832685776,0.0,0.0,0.3179461125083539,4.005112910097997,0.29456227020350645
ABL,1850-1945,HR,exterior_wall,2.8,547699.7539247004,0.0,4.797806716929403,0.0,6.724303554274735,2.8
ABL,1850-1945,HR,light_exterior_wall,2.8,547699.7539247004,0.0,4.797806716929403,0.0,6.724303554274735,2.8
ABL,1850-1945,HR,light_partition_wall,2.8,468087.85978149896,0.0,2.3376189681081985,0.0,3.855687138529331,1.4553014553014554
ABL,1850-1945,HR,partition_wall,2.8,468087.85978149896,0.0,2.3376189681081985,0.0,3.855687138529331,1.4553014553014554
ABL,1850-1945,HR,roof,1.7999999999999998,1082471.3596309496,0.0,2.415458937198067,0.0,7.064364207221349,1.7999999999999996
ABL,1850-1945,HR,separating_floor,0.9803921568627451,731538.8260860149,0.0,1.0455480785273346,0.0,3.482126319688831,0.8041060735671516
ABL,1850-1945,SI,base_floor,0.9803921568627451,1019542.832685776,0.0,0.0,0.3179461125083539,4.005112910097997,0.29456227020350645
ABL,1850-1945,SI,exterior_wall,2.8,547699.7539247004,0.0,4.797806716929403,0.0,6.724303554274735,2.8
ABL,1850-1945,SI,light_exterior_wall,2.8,547699.7539247004,0.0,4.797806716929403,0.0,6.724303554274735,2.8
ABL,1850-1945,SI,light_partition_wall,2.8,468087.85978149896,0.0,2.3376189681081985,0.0,3.855687138529331,1.4553014553014554
ABL,1850-1945,SI,partition_wall,2.8,468087.85978149896,0.0,2.3376189681081985,0.0,3.855687138529331,1.4553014553014554
ABL,1850-1945,SI,roof,1.7999999999999998,1082471.3596309496,0.0,2.415458937198067,0.0,7.064364207221349,1.7999999999999996
ABL,1850-1945,SI,separating_floor,0.9803921568627451,731538.8260860149,0.0,1.0455480785273346,0.0,3.482126319688831,0.8041060735671516
ABL,1850-1959,BG,base_floor,2.1,734272.288823293,0.0,0.0,0.3911946367579468,4.984571564206028,0.36272739355813277
ABL,1850-1959,BG,exterior_wall,1.39,659313.9418952907,0.0,1.8709703471390302,0.0,5.407087563698603,1.39
ABL,1850-1959,BG,light_exterior_wall,1.39,659313.9418952907,0.0,1.8709703471390302,0.0,5.407087563698603,1.39
ABL,1850-1959,BG,light_partition_wall,1.39,532182.2868750016,0.0,1.2954152551455478,0.0,3.603977339020185,0.9529032700349626
ABL,1850-1959,BG,partition_wall,1.39,532182.2868750016,0.0,1.2954152551455478,0.0,3.603977339020185,0.9529032700349626
ABL,1850-1959,BG,roof,2.1,927877.2331464167,0.0,2.9190992493744785,0.0,7.483962936564503,2.1
ABL,1850-1959,BG,separating_floor,2.1,601782.0070631489,0.0,1.8488356737245235,0.0,3.7691824463788923,1.240401653868872
ABL,1850-1959,RO,base_floor,2.1,734272.288823293,0.0,0.0,0.3911946367579468,4.984571564206028,0.36272739355813277
ABL,1850-1959,RO,exterior_wall,1.39,659313.9418952907,0.0,1.8709703471390302,0.0,5.407087563698603,1.39
ABL,1850-1959,RO,light_exterior_wall,1.39,659313.9418952907,0.0,1.8709703471390302,0.0,5.407087563698603,1.39
ABL,1850-1959,RO,light_partition_wall,1.39,532182.2868750016,0.0,1.2954152551455478,0.0,3.603977339020185,0.9529032700349626
ABL,1850-1959,RO,partition_wall,1.39,532182.2868750016,0.0,1.2954152551455478,0.0,3.603977339020185,0.9529032700349626
ABL,1850-1959,RO,roof,2.1,927877.2331464167,0.0,2.9190992493744785,0.0,7.483962936564503,2.1
ABL,1850-1959,RO,separating_floor,2.1,601782.0070631489,0.0,1.8488356737245235,0.0,3.7691824463788923,1.240401653868872
ABL,1850-1964,LU,base_floor,0.7692307692307693,1059222.724013512,0.0,0.0,0.29209575694795625,3.5335689045936394,0.26979376794073917
ABL,1850-1964,LU,exterior_wall,2.7777777777777772,250947.7395454722,0.0,4.7393364928909945,0.0,6.711409395973154,2.7777777777777772
